OBJECTID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,scientific,code,shape_Leng,ORIG_FID,POINT_X,POINT_Y
6057,17342.000000000000000,Pipistrellus imbricatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Bali, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus imbricatus,LC,3.999011631890000,6056,115.118368807774350,-8.354710505285539
6058,17342.000000000000000,Pipistrellus imbricatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Kangean, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus imbricatus,LC,1.535541075950000,6057,115.359958214400080,-6.904899066338771
6059,17342.000000000000000,Pipistrellus imbricatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Lombok, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus imbricatus,LC,4.216660671230000,6058,116.339262255348900,-8.582901686163837
6060,17342.000000000000000,Pipistrellus imbricatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Java, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus imbricatus,LC,30.800511896300002,6059,109.938050553989910,-7.300215090553934
6061,17343.000000000000000,Pipistrellus inexspectatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus inexspectatus,DD,52.778084216600000,6060,0.634978891562639,9.299387704179253
6062,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Sumatra, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,50.437027127299999,6061,101.523869853910700,-0.456927908396210
6063,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Timor, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,11.620814965299999,6062,125.110634260262940,-9.251034114532729
6064,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Java, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,30.799590829300001,6063,109.938050466755670,-7.300215114835623
6065,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Camorta, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,0.748311504095000,6064,93.500543770878380,8.120110576741752
6066,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Car Nicobar, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,0.498733277277000,6065,92.765826387178095,9.173695975588828
6067,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Singapore, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,1.308460803490000,6066,103.810773596124650,1.361042654095286
6068,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Bangka, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,7.596013238210000,6067,105.982142404548370,-2.256152824093533
6069,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Borneo, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,16.297118231500001,6068,113.330319530621860,3.188154769427115
6070,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,306.401763822000020,6069,97.359766421383313,19.705840690495506
6071,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Flores, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,10.928114021800001,6070,121.149850354510360,-8.605138366242557
