OBJECTID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,scientific,code,shape_Leng,ORIG_FID,POINT_X,POINT_Y
1,179234.000000000000000,Tarsius tumpara,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature), , ,Siau, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius tumpara,CR,0.497440779797000,0,125.394938321846100,2.743851491653061
2,179234.000000000000000,Tarsius tumpara,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,Siau, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius tumpara,CR,0.497440779797000,1,125.394938321846100,2.743851491653061
3,181359.000000000000000,Sotalia guianensis,2,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Probably Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,23.164731801399999,2,-84.256356002327607,15.912505374123782
4,181359.000000000000000,Sotalia guianensis,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,383.930268841999980,3,-55.513926506902749,-0.043046338317822
5,181359.000000000000000,Sotalia guianensis,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia guianensis,DD,364.754381301000020,4,-53.140074836184681,-1.352937335889294
6,190871.000000000000000,Sotalia fluviatilis,1,1,1,IUCN,2010,IUCN (International Union for Conservation of Nature),Jefferson et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,Sotalia fluviatilis,DD,290.957455379000010,5,-63.781222554177475,-4.664731787741744
7,195277.000000000000000,Tarsius wallacei,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,Sulawesi, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,Tarsius wallacei,DD,5.291488367400000,6,120.061872868837900,0.222013229726826
8,198920.000000000000000,Neophocaena phocaenoides,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Neophocaena,Neophocaena phocaenoides,VU,831.261152375000050,7,91.368281560745515,14.256500620307406
9,199832.000000000000000,Philander olrogi,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Philander olrogi,DD,0.579140438925000,8,-63.912592379134935,-15.922005743670070
10,199834.000000000000000,Thylamys pulchellus,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys pulchellus,LC,24.153272652700000,9,-63.391635109772437,-27.249896142992554
11,199835.000000000000000,Thylamys citellus,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys citellus,LC,14.677483949599999,10,-58.982113871058289,-30.825925961214068
12,199836.000000000000000,Thylamys fenestrae,1,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys fenestrae,NT,19.586900230400001,11,-63.752983267263915,-37.595457985097880
13,199838.000000000000000,Pennatomys nivalis,5,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,Nevis, , ,Extinct, ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pennatomys,Pennatomys nivalis,EX,0.335525580263000,12,-62.589009082003486,17.151278245095000
14,199838.000000000000000,Pennatomys nivalis,5,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,St. Eustatius, , ,Extinct, ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pennatomys,Pennatomys nivalis,EX,0.193731516036000,13,-62.975066130697314,17.499096003477803
15,199838.000000000000000,Pennatomys nivalis,5,1,1,IUCN,2011,IUCN (International Union for Conservation of Nature), , ,St. Kitts, , ,Extinct, ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Pennatomys,Pennatomys nivalis,EX,0.718748203782000,14,-62.766286126403543,17.339942185983148
16,201936.000000000000000,Thylamys pusillus,1,1,1,IUCN,2015,International Union for the Conservation of Nature, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys pusillus,LC,21.281152624899999,15,-60.765873225568839,-22.332104391704263
17,13508501.000000000000000,Rhinopithecus strykeri,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Geissmann et al. 2011, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,Rhinopithecus strykeri,CR,0.860498335329000,16,98.447284312121383,26.434987475291791
18,14699281.000000000000000,Callicebus caquetensis,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature),Defler et al. 2010, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,PITHECIIDAE,Callicebus,Callicebus caquetensis,CR,1.288663712620000,17,-75.652312771916854,1.068813772037970
19,14888655.000000000000000,Thylamys pallidior,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys,Thylamys pallidior,LC,104.758112608000000,18,-67.536390229225674,-30.822328977000666
20,14914835.000000000000000,Isothrix barbarabrownae,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Isothrix,Isothrix barbarabrownae,DD,5.634686200820000,19,-71.568750000312207,-13.010142721309478
21,16971364.000000000000000,Microcebus margotmarshae,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,Microcebus margotmarshae,EN,1.358883707660000,20,48.607377770168000,-14.336531296182329
22,16971390.000000000000000,Microcebus arnholdi,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,Microcebus arnholdi,EN,0.421857257726000,21,49.168766876090501,-12.588476045832806
23,16971425.000000000000000,Microcebus macarthurii,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,Microcebus macarthurii,EN,0.888197907989000,22,49.444956526622434,-15.207989227320923
24,16971461.000000000000000,Microcebus gerpi,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,Microcebus gerpi,CR,0.172900979211000,23,48.965562145077001,-18.813697483352144
25,16971489.000000000000000,Lepilemur hollandorum,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEPILEMURIDAE,Lepilemur,Lepilemur hollandorum,EN,1.150146871230000,24,49.724513931372883,-16.443737711526126
26,16971518.000000000000000,Lepilemur scottorum,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEPILEMURIDAE,Lepilemur,Lepilemur scottorum,EN,3.519511895980000,25,50.126194295830146,-15.522393921542175
27,16971566.000000000000000,Avahi mooreorum,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,INDRIIDAE,Avahi,Avahi mooreorum,EN,3.519511895980000,26,50.126194295830146,-15.522393921542175
28,45369602.000000000000000,Macroscelides proboscideus,1,1,1,Galen B. Rathbun,2015,"G.B. Rathbun, California Academy of Sciences, www.sengis.org
", , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Macroscelides,Macroscelides proboscideus,LC,32.579603646800003,27,20.611467685585296,-29.834750152497520
29,45369877.000000000000000,Macroscelides flavicaudatus,1,1,1,Galen B. Rathbun ,2015,"G.B. Rathbun, California Academy of Sciences, www.sengis.org", , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Macroscelides,Macroscelides flavicaudatus,LC,17.227235731499999,28,14.618043134782909,-21.798395536125042
30,45434566.000000000000000,Macroscelides micus,1,1,1,Galen B. Rathbun ,2015,"G.B. Rathbun, California Academy of Sciences, www.sengis.org", , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Macroscelides,Macroscelides micus,LC,1.479929386090000,29,13.932650508514200,-20.495970539308871
31,45953906.000000000000000,Apodemus avicennicus,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apodemus,Apodemus avicennicus,DD,0.613950538985000,30,54.250150570392577,31.600008403165305
32,45954204.000000000000000,Crocidura phanluongi,1,1,1,IUCN SSC Small Mammal Speciailst Group,2016,IUCN SSC Small Mammal Speciailst Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura phanluongi,LC,8.624615992600001,31,107.361600387048270,12.453895475895536
33,45954204.000000000000000,Crocidura phanluongi,1,1,1,IUCN SSC Small Mammal Speciailst Group,2016,IUCN SSC Small Mammal Speciailst Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura phanluongi,LC,8.624615992600001,32,107.361600387048270,12.453895475895536
34,45954289.000000000000000,Crocidura phuquocensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Phu Quoc, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura phuquocensis,DD,0.500945998270000,33,104.002118128249090,10.359329625461896
35,45954289.000000000000000,Crocidura phuquocensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Phu Quoc, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura phuquocensis,DD,0.500945998270000,34,104.002118128249090,10.359329625461896
36,45954331.000000000000000,Crocidura sokolovi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura sokolovi,DD,0.582115662933000,35,107.949954909991160,15.083081703258074
37,45954331.000000000000000,Crocidura sokolovi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura sokolovi,DD,0.582115662933000,36,107.949954909991160,15.083081703258074
38,45954341.000000000000000,Crocidura zaitsevi,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura zaitsevi,DD,5.301708489260000,37,108.201767143239120,12.734640673728165
39,45954374.000000000000000,Myosorex bururiensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Myosorex,Myosorex bururiensis,VU,0.187803365453000,38,29.603626922944215,-3.934103002651398
40,45954378.000000000000000,Myosorex jejei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Myosorex,Myosorex jejei,VU,0.230296828961000,39,28.677502203863696,-2.255288159221152
41,45954382.000000000000000,Myosorex gnoskei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Myosorex,Myosorex gnoskei,EN,2.483624327440000,40,33.849544937548899,-10.568285079193004
42,45954392.000000000000000,Suncus hututsi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Suncus,Suncus hututsi,DD,6.646241310860000,41,30.759445501009111,-0.485672890391527
43,45954401.000000000000000,Surdisorex schlitteri,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Surdisorex,Surdisorex schlitteri,DD,0.564317781486000,42,34.666581786320421,1.110547632667135
44,45954406.000000000000000,Sylvisorex akaibei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sylvisorex,Sylvisorex akaibei,DD,2.030202513680000,43,25.632458580599064,0.624841352146746
45,45954439.000000000000000,Sylvisorex silvanorum,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sylvisorex,Sylvisorex silvanorum,DD,0.567136734351000,44,10.235234041517856,5.917432655492689
46,45955241.000000000000000,Euroscaptor subanura,1,1,1,IUCN SSC Small Mammal Speciailst Group,2016,IUCN SSC Small Mammal Speciailst Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,Euroscaptor subanura,DD,7.976173380220000,45,105.193383658329250,20.928670897344091
47,45955241.000000000000000,Euroscaptor subanura,1,1,1,IUCN SSC Small Mammal Speciailst Group,2016,IUCN SSC Small Mammal Speciailst Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,Euroscaptor subanura,DD,7.976173380220000,46,105.193383658329250,20.928670897344091
48,45955965.000000000000000,Grammomys selousi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Grammomys,Grammomys selousi,LC,0.921695145946000,47,38.754281659670937,-8.254461921180678
49,45955965.000000000000000,Grammomys selousi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Grammomys,Grammomys selousi,LC,0.921695145946000,48,38.754281659670937,-8.254461921180678
50,45955968.000000000000000,Hylomyscus pamfi,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Monadjem et al. 2015, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hylomyscus,Hylomyscus pamfi,DD,17.259358076600002,49,2.080835499758564,7.272692495162573
51,45955979.000000000000000,Leopoldamys diwangkarai,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Java, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Leopoldamys,Leopoldamys diwangkarai,DD,3.325404236550000,50,107.448543539252970,-6.562773769194052
52,45955979.000000000000000,Leopoldamys diwangkarai,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Borneo, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Leopoldamys,Leopoldamys diwangkarai,DD,14.118824897100000,51,112.634172530737710,-1.808042217874004
53,45958508.000000000000000,Maxomys tajuddinii,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Sumatra, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys tajuddinii,LC,38.299845576300001,52,100.367664235516090,0.821907129210672
54,45958508.000000000000000,Maxomys tajuddinii,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys tajuddinii,LC,5.475692521640000,53,102.216128311172670,3.642981412861957
55,45958508.000000000000000,Maxomys tajuddinii,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Balambangan Island, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys tajuddinii,LC,0.730471177979000,54,116.939402831675350,7.272685767334338
56,45958508.000000000000000,Maxomys tajuddinii,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Borneo, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Maxomys,Maxomys tajuddinii,LC,22.196871141700001,55,114.134609560482890,1.341883036772799
57,45958680.000000000000000,Pseudohydromys berniceae,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudohydromys,Pseudohydromys berniceae,LC,10.132606554000001,56,147.927948597649670,-8.970263332786544
58,45958683.000000000000000,Pseudohydromys patriciae,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudohydromys,Pseudohydromys patriciae,DD,7.757160303630000,57,138.623749660918180,-4.127006270323079
59,45958686.000000000000000,Pseudohydromys sandrae,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudohydromys,Pseudohydromys sandrae,DD,0.564535747639000,58,142.460231961535900,-6.119853373534340
60,45958849.000000000000000,Rattus nikenii,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Gag, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Rattus,Rattus nikenii,VU,0.301134291319000,59,129.880630680061930,-0.455915305946576
61,45958882.000000000000000,Jaculus thaleri,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Jaculus,Jaculus thaleri,DD,9.641797702050001,60,59.188241245137419,33.515782448701088
62,45958985.000000000000000,Dendromus lachaisei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,Dendromus lachaisei,DD,12.328375411000000,61,-7.036112054028024,6.909864189380869
63,45958985.000000000000000,Dendromus lachaisei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,Dendromus lachaisei,DD,12.328375411000000,62,-7.036112054028024,6.909864189380869
64,45959000.000000000000000,Dendromus ruppi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,Dendromus ruppi,DD,1.340797512160000,63,32.780870234074087,4.023019300900046
65,45959000.000000000000000,Dendromus ruppi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Dendromus,Dendromus ruppi,DD,1.340797512160000,64,32.780870234074087,4.023019300900046
66,45959013.000000000000000,Petaurista mechukaensis,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Petaurista,Petaurista mechukaensis,DD,4.833581082170000,65,94.325922051061866,28.515797530431712
67,45959040.000000000000000,Petaurista mishmiensis,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Petaurista,Petaurista mishmiensis,NT,5.850994683960000,66,96.179386266463098,28.509746951960324
68,45959213.000000000000000,Neodon linzhiensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neodon,Neodon linzhiensis,DD,3.014883558840000,67,94.138117286483634,29.695886301411747
69,46205590.000000000000000,Paucidentomys vermidax,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , ,Sulawesi, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Paucidentomys,Paucidentomys vermidax,DD,2.111899661070000,68,119.633889241995010,-3.035584178866714
70,46205597.000000000000000,Pseudoberylmys muongbangensis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pseudoberylmys,Pseudoberylmys muongbangensis,DD,0.584039053249000,69,104.787991556165420,21.131984592914705
71,46251646.000000000000000,Microcebus marohita,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,Microcebus marohita,CR,0.261153032985000,70,48.195169656754331,-20.040579741261979
72,47760825.000000000000000,Abrawayaomys ruschii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,Abrawayaomys ruschii,LC,13.448354741599999,71,-43.189694831351346,-20.846653179800342
73,47792718.000000000000000,Phyllomys sulinus,1,1,1,IUCN SSC Small Mammal Specialkis,2016,IUCN SSC Small Mammal Specialkis, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,Phyllomys sulinus,DD,42.180639078299997,72,-50.189150195125364,-24.539492877294379
74,47805694.000000000000000,Acomys spinosissimus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys spinosissimus,LC,98.741183564899998,73,31.866731286219931,-15.599070816165181
75,47805694.000000000000000,Acomys spinosissimus,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Possibly Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys spinosissimus,LC,11.041617273800000,74,35.605938835908603,-10.647281823597211
76,47979811.000000000000000,Hylomyscus walterverheyeni,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Missoup et al. 2009, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hylomyscus,Hylomyscus walterverheyeni,LC,5.477477977270000,75,9.956633075655986,5.351629980039604
77,47979811.000000000000000,Hylomyscus walterverheyeni,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Nicolas et al. 2008, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hylomyscus,Hylomyscus walterverheyeni,LC,35.575292213499999,76,13.513550062885145,0.818918250377010
78,47990318.000000000000000,Lophuromys flavopunctatus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Lophuromys,Lophuromys flavopunctatus,LC,130.270427291000000,77,25.320562884269748,-2.526981734619312
79,47990318.000000000000000,Lophuromys flavopunctatus,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Possibly Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Lophuromys,Lophuromys flavopunctatus,LC,3.802757924830000,78,29.101177356849576,-7.348012528455399
80,48002425.000000000000000,Microhydromys richardsoni,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Helgen et al. 2010, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Microhydromys,Microhydromys richardsoni,DD,20.022874552400001,79,141.936221456055360,-3.981659766684857
81,48004865.000000000000000,Microhydromys argenteus,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group,Helgen et al. 2010, , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Microhydromys,Microhydromys argenteus,DD,16.164331106700001,80,145.034211683622400,-7.439397523976481
82,48266951.000000000000000,Eliurus carletoni,1,1,1,IUCN SSC Small Mammal Specialist Group,2016,IUCN SSC Small Mammal Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,Eliurus carletoni,LC,3.253667790600000,81,49.529194245617987,-13.083478934005541
