58100,LC
59438,LC
58921,LC
136004,LC
57151,LC
58263,LC
55519,LC
55657,LC
57854,LC
58301,LC
54594,NT
56434,LC
153567,LC
153567,LC
54697,LC
153570,LC
153571,DD
155333,LC
135857,DD
59557,LC
58791,LC
59442,LC
58019,LC
58021,LC
57661,LC
55031,VU
55047,LC
58447,DD
58447,DD
58447,DD
57664,DD
58448,LC
58242,LC
58447,DD
135814,DD
58256,LC
136087,LC
58448,LC
135814,DD
58242,LC
58256,LC
58449,VU
58255,LC
58255,LC
58255,LC
58255,LC
58255,LC
58255,LC
58242,LC
58242,LC
58255,LC
58255,LC
58256,LC
58234,LC
58242,LC
58242,LC
58242,LC
58242,LC
136158,LC
58242,LC
58242,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
58256,LC
57668,CR
58256,LC
57670,LC
136158,LC
136158,LC
58466,DD
58467,LC
58257,DD
61867,DD
58236,LC
58236,LC
58237,LC
58238,LC
58238,LC
58238,LC
58472,LC
57869,LC
57741,LC
59074,LC
55457,LC
54702,LC
54790,LC
58565,LC
58695,LC
56212,CR
54388,EN
73346893,LC
57855,LC
58269,LC
55904,LC
58269,LC
58705,LC
22212,LC
186065,VU
56072,LC
18435553,DD
58191,LC
54592,LC
58638,LC
54369,NT
54369,NT
174591,NT
54382,LC
62181621,LC
55054,LC
54423,EN
54551,CR
54551,CR
55592,CR
41095,LC
55054,LC
41095,LC
41095,LC
41095,LC
41095,LC
173194,DD
175535,CR
55703,LC
55848,DD
55704,LC
55852,LC
55856,DD
55861,DD
55235,DD
54703,LC
54703,LC
16575406,EN
16575406,EN
186160,DD
186164,LC
186158,LC
186158,LC
186166,CR
56404,EN
56093,EN
58595,DD
58650,NT
58650,NT
58650,NT
58792,NT
57763,LC
58739,VU
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
54727,LC
55675,CR
55675,CR
22212,LC
6715,CR
13318,CR
54432,CR
54787,VU
135835,VU
58992,NT
58269,LC
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
13318,CR
58242,LC
54837,EW
136057,CR
54843,CR
58999,NT
58242,LC
54858,EN
54858,EN
58972,LC
58972,LC
58972,LC
58972,LC
58972,LC
135768,DD
58972,LC
56294,EN
56544,LC
56544,LC
58496,LC
58972,LC
58972,LC
58972,LC
135768,DD
41095,LC
41095,LC
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
58927,EN
59097,LC
59097,LC
59097,LC
59097,LC
59097,LC
59002,LC
18435557,EN
56501,LC
18435550,CR
58255,LC
18435537,CR
58255,LC
58255,LC
58972,LC
59046,LC
58255,LC
58972,LC
12144,EN
56390,LC
58992,NT
58992,NT
59542,DD
58255,LC
58360,LC
56544,LC
58242,LC
